
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER E854 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.250  -0.3935   0.10398   0.10058  -0.0503   1.0000   0.0499
 -10.000  -0.4021   0.09911   0.09578  -0.0529   1.0000   0.0501
  -9.750  -0.4159   0.09339   0.09012  -0.0563   1.0000   0.0502
  -9.500  -0.4081   0.09084   0.08762  -0.0510   1.0000   0.0517
  -9.250  -0.4065   0.08853   0.08534  -0.0497   1.0000   0.0526
  -9.000  -0.4115   0.08547   0.08234  -0.0494   1.0000   0.0532
  -8.750  -0.4203   0.08223   0.07917  -0.0490   1.0000   0.0541
  -8.500  -0.4352   0.07876   0.07578  -0.0487   1.0000   0.0547
  -8.250  -0.4628   0.07469   0.07182  -0.0488   1.0000   0.0547
  -7.500  -0.4934   0.04219   0.03780  -0.0792   0.9735   0.0311
  -7.250  -0.4709   0.03517   0.03009  -0.0819   0.9663   0.0245
  -7.000  -0.4416   0.02897   0.02286  -0.0842   0.9609   0.0219
  -6.750  -0.4100   0.02621   0.01968  -0.0857   0.9549   0.0219
  -6.500  -0.3762   0.02394   0.01719  -0.0874   0.9494   0.0226
  -6.250  -0.3373   0.02213   0.01524  -0.0899   0.9462   0.0247
  -6.000  -0.3064   0.02108   0.01403  -0.0907   0.9376   0.0280
  -5.750  -0.2693   0.01917   0.01212  -0.0930   0.9339   0.0337
  -5.500  -0.2376   0.01768   0.01059  -0.0941   0.9264   0.0434
  -5.250  -0.1995   0.01640   0.00929  -0.0965   0.9216   0.0646
  -5.000  -0.1582   0.01504   0.00806  -0.0998   0.9188   0.1001
  -4.750  -0.1269   0.01366   0.00705  -0.1014   0.9099   0.1746
  -4.500  -0.0865   0.01215   0.00649  -0.1052   0.9059   0.3966
  -4.250  -0.0504   0.01206   0.00637  -0.1066   0.8973   0.4588
  -4.000  -0.0079   0.01201   0.00622  -0.1092   0.8915   0.4945
  -3.750   0.0273   0.01201   0.00612  -0.1105   0.8815   0.5173
  -3.500   0.0658   0.01199   0.00597  -0.1123   0.8728   0.5369
  -3.250   0.1020   0.01196   0.00584  -0.1138   0.8628   0.5523
  -3.000   0.1338   0.01198   0.00575  -0.1144   0.8509   0.5660
  -2.750   0.1649   0.01202   0.00569  -0.1148   0.8394   0.5801
  -2.500   0.1955   0.01209   0.00568  -0.1151   0.8283   0.5944
  -2.250   0.2262   0.01212   0.00564  -0.1154   0.8181   0.6057
  -2.000   0.2536   0.01213   0.00558  -0.1152   0.8066   0.6141
  -1.750   0.2819   0.01215   0.00547  -0.1154   0.7958   0.6229
  -1.500   0.3103   0.01214   0.00541  -0.1154   0.7862   0.6293
  -1.250   0.3393   0.01216   0.00531  -0.1157   0.7768   0.6375
  -1.000   0.3657   0.01216   0.00529  -0.1154   0.7671   0.6436
  -0.750   0.3947   0.01221   0.00523  -0.1156   0.7589   0.6518
  -0.500   0.4214   0.01222   0.00523  -0.1154   0.7498   0.6582
  -0.250   0.4492   0.01228   0.00522  -0.1155   0.7418   0.6665
   0.000   0.4768   0.01230   0.00523  -0.1154   0.7342   0.6733
   0.250   0.5039   0.01237   0.00527  -0.1154   0.7263   0.6820
   0.500   0.5316   0.01241   0.00531  -0.1153   0.7193   0.6896
   0.750   0.5582   0.01248   0.00539  -0.1152   0.7119   0.6984
   1.000   0.5860   0.01255   0.00544  -0.1152   0.7054   0.7076
   1.250   0.6122   0.01262   0.00556  -0.1149   0.6984   0.7168
   1.500   0.6396   0.01270   0.00565  -0.1149   0.6919   0.7273
   1.750   0.6666   0.01280   0.00578  -0.1148   0.6860   0.7387
   2.000   0.6922   0.01287   0.00593  -0.1144   0.6793   0.7502
   2.250   0.7206   0.01297   0.00604  -0.1145   0.6741   0.7630
   2.500   0.7442   0.01305   0.00626  -0.1137   0.6672   0.7774
   2.750   0.7710   0.01313   0.00639  -0.1135   0.6617   0.7939
   3.000   0.7953   0.01324   0.00661  -0.1128   0.6558   0.8128
   3.250   0.8185   0.01329   0.00680  -0.1118   0.6497   0.8340
   3.500   0.8428   0.01334   0.00693  -0.1109   0.6447   0.8615
   3.750   0.8613   0.01333   0.00711  -0.1088   0.6379   0.9022
   4.000   0.8997   0.01329   0.00714  -0.1109   0.6318   1.0000
   4.250   0.9272   0.01349   0.00739  -0.1113   0.6237   1.0000
   4.500   0.9582   0.01365   0.00748  -0.1121   0.6168   1.0000
   4.750   0.9823   0.01378   0.00768  -0.1115   0.6070   1.0000
   5.000   1.0082   0.01388   0.00780  -0.1112   0.5969   1.0000
   5.250   1.0351   0.01394   0.00783  -0.1109   0.5866   1.0000
   5.500   1.0590   0.01403   0.00797  -0.1101   0.5758   1.0000
   5.750   1.0827   0.01415   0.00816  -0.1093   0.5653   1.0000
   6.000   1.1072   0.01426   0.00833  -0.1086   0.5548   1.0000
   6.250   1.1317   0.01436   0.00845  -0.1079   0.5436   1.0000
   6.500   1.1539   0.01444   0.00860  -0.1067   0.5308   1.0000
   6.750   1.1750   0.01453   0.00876  -0.1053   0.5162   1.0000
   7.000   1.1943   0.01463   0.00894  -0.1036   0.4991   1.0000
   7.250   1.2124   0.01474   0.00916  -0.1016   0.4784   1.0000
   7.500   1.2289   0.01492   0.00936  -0.0994   0.4534   1.0000
   7.750   1.2426   0.01521   0.00963  -0.0967   0.4197   1.0000
   8.000   1.2506   0.01576   0.01000  -0.0931   0.3699   1.0000
   8.250   1.2483   0.01677   0.01064  -0.0879   0.3036   1.0000
   8.500   1.2408   0.01814   0.01163  -0.0821   0.2438   1.0000
   8.750   1.2345   0.01968   0.01284  -0.0770   0.1923   1.0000
   9.000   1.2303   0.02125   0.01416  -0.0725   0.1527   1.0000
   9.250   1.2277   0.02284   0.01557  -0.0686   0.1241   1.0000
   9.500   1.2268   0.02444   0.01707  -0.0651   0.1032   1.0000
   9.750   1.2260   0.02613   0.01870  -0.0619   0.0870   1.0000
  10.000   1.2260   0.02791   0.02048  -0.0591   0.0747   1.0000
  10.250   1.2258   0.02982   0.02239  -0.0566   0.0648   1.0000
  10.500   1.2236   0.03201   0.02455  -0.0542   0.0568   1.0000
  10.750   1.2275   0.03385   0.02644  -0.0525   0.0491   1.0000
  11.000   1.2278   0.03611   0.02876  -0.0507   0.0430   1.0000
  11.250   1.2294   0.03832   0.03099  -0.0492   0.0377   1.0000
  11.500   1.2303   0.04074   0.03350  -0.0477   0.0329   1.0000
  11.750   1.2332   0.04301   0.03583  -0.0466   0.0291   1.0000
  12.000   1.2315   0.04596   0.03880  -0.0451   0.0259   1.0000
  12.250   1.2375   0.04807   0.04105  -0.0443   0.0229   1.0000
  12.500   1.2398   0.05057   0.04357  -0.0437   0.0205   1.0000
  12.750   1.2444   0.05338   0.04646  -0.0423   0.0189   1.0000
  13.000   1.2521   0.05571   0.04901  -0.0414   0.0177   1.0000
  13.250   1.2594   0.05823   0.05168  -0.0406   0.0166   1.0000
  13.500   1.2650   0.06095   0.05456  -0.0399   0.0158   1.0000
  13.750   1.2682   0.06377   0.05749  -0.0396   0.0149   1.0000
  14.000   1.2714   0.06687   0.06068  -0.0393   0.0142   1.0000
  14.250   1.2706   0.07170   0.06575  -0.0387   0.0135   1.0000
  14.500   1.2637   0.07544   0.06974  -0.0392   0.0132   1.0000
  14.750   1.2568   0.07962   0.07418  -0.0399   0.0129   1.0000
  15.000   1.2483   0.08430   0.07911  -0.0410   0.0126   1.0000
  15.250   1.2387   0.08934   0.08439  -0.0424   0.0124   1.0000
  15.500   1.2265   0.09494   0.09024  -0.0443   0.0121   1.0000
  15.750   1.2126   0.10116   0.09670  -0.0466   0.0121   1.0000
  16.000   1.1970   0.10787   0.10365  -0.0496   0.0121   1.0000
  16.250   1.1802   0.11512   0.11113  -0.0533   0.0122   1.0000
  16.500   1.1626   0.12288   0.11910  -0.0575   0.0123   1.0000
  16.750   1.1443   0.13124   0.12766  -0.0625   0.0124   1.0000
  17.000   1.1254   0.14027   0.13688  -0.0683   0.0126   1.0000
  17.250   1.1061   0.15000   0.14677  -0.0746   0.0128   1.0000
  17.500   1.0867   0.16034   0.15722  -0.0814   0.0132   1.0000
  17.750   1.0678   0.17112   0.16808  -0.0882   0.0136   1.0000
