# AoA Mach CL CD
0.00000000 0.30000000 0.00251194 0.00134887
0.00000000 0.50000000 0.00299387 0.00171925
0.00000000 0.70000000 0.00394769 0.00288317
0.00000000 0.85000000 0.00833803 0.01229870
0.05235988 0.30000000 0.20105900 0.00458350
0.05235988 0.50000000 0.21206700 0.00563401
0.05235988 0.70000000 0.23698500 0.00871928
0.05235988 0.85000000 0.29803900 0.03032720
0.10471976 0.30000000 0.39578600 0.01478110
0.10471976 0.50000000 0.41323700 0.01838060
0.10471976 0.70000000 0.45014500 0.02906480
0.10471976 0.85000000 0.51830800 0.07062910
