# AoA Mach CL CD
0.00000000 0.30000000 0.00415459 0.00111181
0.00000000 0.50000000 0.00413721 0.00147859
0.00000000 0.70000000 0.00453948 0.00248097
0.00000000 0.85000000 0.00746666 0.01186390
0.05235988 0.30000000 0.20388958 0.00432118
0.05235988 0.50000000 0.21483924 0.00532740
0.05235988 0.70000000 0.24112666 0.00817240
0.05235988 0.85000000 0.30532633 0.03115450
0.10471976 0.30000000 0.40011425 0.01441278
0.10471976 0.50000000 0.41798452 0.01788826
0.10471976 0.70000000 0.45717927 0.02884358
0.10471976 0.85000000 0.52613515 0.07289007
