iteration = 1 , objective = 0.6154745696869861, inputs = [1.0, 1.1], constraints = [1.6740215495228672]
iteration = 2 , objective = 0.6154745648111457, inputs = [1.0000000149011612, 1.1], constraints = [1.6740215480808176]
iteration = 3 , objective = 0.6154745694748832, inputs = [1.0, 1.1000000149011613], constraints = [1.674021510501668]
iteration = 4 , objective = 0.6154745694029683, inputs = [1.0, 1.1], constraints = [1.674021549838245]
iteration = 5 , objective = 0.6154745678367428, inputs = [1.0000000149011612, 1.1], constraints = [1.6740215379048378]
iteration = 6 , objective = 0.6154745698435822, inputs = [1.0, 1.1000000149011613], constraints = [1.6740215095512325]
iteration = 7 , objective = 0.6154745694025369, inputs = [1.0, 1.1], constraints = [1.6740215498393565]
iteration = 8 , objective = 0.6154745678478183, inputs = [1.0000000149011612, 1.1], constraints = [1.6740215378762862]
iteration = 9 , objective = 0.6154745698435851, inputs = [1.0, 1.1000000149011613], constraints = [1.6740215095512248]
iteration = 10 , objective = 0.624460520214017, inputs = [1.3, 1.114233984053135], constraints = [1.2912317875016972]
iteration = 11 , objective = 0.6172798978507417, inputs = [1.1374442004341823, 1.1065212618572535], constraints = [1.5034382477429153]
iteration = 12 , objective = 0.6158516118817934, inputs = [1.0660751657685639, 1.1031350428528601], constraints = [1.5935267478051744]
iteration = 13 , objective = 0.6155896639417748, inputs = [1.032472461053336, 1.101540708309331], constraints = [1.6348987854622847]
iteration = 14 , objective = 0.6154883800135598, inputs = [1.0160625986595089, 1.1007621159105714], constraints = [1.6547736756083242]
iteration = 15 , objective = 0.6154706357883799, inputs = [1.0080102948548304, 1.100380061364082], constraints = [1.6644492667578492]
iteration = 16 , objective = 0.6154698747327064, inputs = [1.0040111552807345, 1.1001903157343356], constraints = [1.6692349355297083]
iteration = 17 , objective = 0.6154715261064914, inputs = [1.0020127626880093, 1.1000954987733462], constraints = [1.6716213658783823]
iteration = 18 , objective = 0.6154728670463752, inputs = [1.0010110440440823, 1.1000479706160018], constraints = [1.672816326928403]
iteration = 19 , objective = 0.6154736713448474, inputs = [1.000508131805528, 1.1000241091333893], constraints = [1.6734159323159852]
iteration = 20 , objective = 0.6154741039694658, inputs = [1.0002554432231132, 1.100012119915881], constraints = [1.6737171344967956]
iteration = 1 , objective = 0.6482003740478954, inputs = [0.9, 0.9], constraints = [2.4549635855145677]
iteration = 1 , objective = 0.6482003740478954, inputs = [0.9, 0.9], constraints = [2.4549635855145677]
