# AoA Mach CL CD
0.00000000 0.30000000 0.00654461 0.02550989
0.00000000 0.50000000 0.00923665 0.02123636
0.00000000 0.70000000 0.01069879 0.03359684
0.00000000 0.85000000 0.02060680 0.06217281
0.05235988 0.30000000 0.18085600 0.03233339
0.05235988 0.50000000 0.20017966 0.02800733
0.05235988 0.70000000 0.22334574 0.04171732
0.05235988 0.85000000 0.23168485 0.07241880
0.10471976 0.30000000 0.35195404 0.05195109
0.10471976 0.50000000 0.38857012 0.04874952
0.10471976 0.70000000 0.43144782 0.06827731
0.10471976 0.85000000 0.43611823 0.10205209
